Assembly	K|Best match locus	K|Match confidence	K|Coverage	K|Identity	OC|Best match locus	OC|Match confidence	OC|Coverage	OC|Identity
GCF_000809605.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001415255.1	KL2	Good	99.75%	100.00%	OCL1	Good	99.87%	98.14%
GCF_000809625.3	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003010655.1	KL2	Very high	100.00%	99.95%	OCL1	Very high	100.00%	98.12%
GCF_000301175.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002212635.1	KL2	Low	93.18%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_003949305.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001415645.1	KL2	Good	99.36%	99.99%	OCL1	Good	100.00%	98.12%
GCF_001669535.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003336085.1	KL2	Good	99.19%	99.66%	OCL1	Very high	100.00%	98.12%
GCF_003516005.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009753915.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_006367575.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_006366595.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_003264275.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001026965.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000581795.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_014705825.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_014705885.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_014705805.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_014705845.1	KL2	High	100.00%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_001541725.1	KL2	Good	96.46%	99.96%	OCL1	Low	91.30%	98.02%
GCF_904886885.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_014705865.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_017169105.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000515595.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000811345.3	KL2	Good	99.86%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900444785.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_005671375.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900444715.1	KL2	Good	98.33%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_014561035.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000939415.2	KL2	High	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000939475.2	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_001895985.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809205.3	KL2	Low	94.39%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809585.3	KL2	Very high	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_000809325.3	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.11%
GCF_000453405.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003948785.1	KL2	Good	100.00%	99.98%	OCL1	Very high	100.00%	98.11%
GCF_003979005.1	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_003948455.2	KL2	High	100.00%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_003948795.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003949295.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001922205.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001922245.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000301575.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001922225.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003948885.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
