assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	strain	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_000695855.3	PRJNA224116	SAMN02714232		na	470	470	Acinetobacter baumannii	AC29		latest	Complete Genome	Major	Full	2015/04/06	ASM69585v3	Universiti Sultan Zainal Abidin	GCA_000695855.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/855/GCF_000695855.3_ASM69585v3			na
GCF_000708775.1	PRJNA224116	SAMN02803875	JNFY00000000.1	na	470	470	Acinetobacter baumannii	BR097		latest	Contig	Major	Full	2014/06/16	ASM70877v1	Bellarmine University	GCA_000708775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/775/GCF_000708775.1_ASM70877v1			na
GCF_000708795.1	PRJNA224116	SAMN02803891	JNFZ00000000.1	na	470	470	Acinetobacter baumannii	BU310		latest	Contig	Major	Full	2014/06/16	ABU310	Bellarmine University	GCA_000708795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/795/GCF_000708795.1_ABU310			na
GCF_000731965.1	PRJNA224116	SAMN02821219	JNOT00000000.1	na	470	470	Acinetobacter baumannii		BM4587	latest	Contig	Major	Full	2014/07/21	ASM73196v1	Walter Reed Army Institute of Research	GCA_000731965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/965/GCF_000731965.1_ASM73196v1			na
GCF_000734775.1	PRJNA224116	SAMN02768887	JMRW00000000.1	na	470	470	Acinetobacter baumannii	TCM206		latest	Contig	Major	Full	2014/07/28	ASM73477v1	The First Affiliated Hospital of Zhejiang Chinese Medical University	GCA_000734775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/775/GCF_000734775.1_ASM73477v1			na
GCF_000738845.1	PRJNA224116	SAMN02867841	JPDG00000000.1	na	470	470	Acinetobacter baumannii	ABBL099		latest	Contig	Major	Full	2014/08/08	ASM73884v1	Northwestern University Feinberg School of Medicine	GCA_000738845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/738/845/GCF_000738845.1_ASM73884v1			na
GCF_000746605.1	PRJNA224116	SAMN02940901		na	470	470	Acinetobacter baumannii	AB31		latest	Complete Genome	Major	Full	2014/08/29	ASM74660v1	University of Manitoba	GCA_000746605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/605/GCF_000746605.1_ASM74660v1			na
GCF_000746645.1	PRJNA224116	SAMN02940899		na	470	470	Acinetobacter baumannii	AB30		latest	Complete Genome	Major	Full	2014/08/29	ASM74664v1	University of Manitoba	GCA_000746645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1			na
GCF_000757665.1	PRJNA224116	SAMN02951536	JPXZ00000000.1	na	470	470	Acinetobacter baumannii	A33405		latest	Contig	Major	Full	2014/09/24	ASM75766v1	IMPaM	GCA_000757665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/665/GCF_000757665.1_ASM75766v1			na
GCF_000759395.1	PRJNA224116	SAMN03066975	JRHB00000000.1	na	470	470	Acinetobacter baumannii	MAR002		latest	Contig	Major	Full	2014/09/29	ASM75939v1	University Hospital- Biomedical Research Institute	GCA_000759395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/395/GCF_000759395.1_ASM75939v1			na
GCF_000760395.1	PRJNA224116	SAMD00019514	BBNF00000000.1	na	470	470	Acinetobacter baumannii	GTC 03322		latest	Contig	Major	Full	2014/09/26	ASM76039v1	National Institute of Technology and Evaluation	GCA_000760395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/395/GCF_000760395.1_ASM76039v1			na
GCF_000760415.1	PRJNA224116	SAMD00019515	BBNG00000000.1	na	470	470	Acinetobacter baumannii	GTC 03323		latest	Contig	Major	Full	2014/09/26	ASM76041v1	National Institute of Technology and Evaluation	GCA_000760415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/415/GCF_000760415.1_ASM76041v1			na
GCF_000760435.1	PRJNA224116	SAMD00019516	BBNH00000000.1	na	470	470	Acinetobacter baumannii	GTC 03324		latest	Contig	Major	Full	2014/09/26	ASM76043v1	National Institute of Technology and Evaluation	GCA_000760435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/435/GCF_000760435.1_ASM76043v1			na
GCF_000760455.1	PRJNA224116	SAMD00019518	BBNI00000000.1	na	470	470	Acinetobacter baumannii	GTC 03328		latest	Contig	Major	Full	2014/09/26	ASM76045v1	National Institute of Technology and Evaluation	GCA_000760455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/455/GCF_000760455.1_ASM76045v1			na
GCF_000760475.1	PRJNA224116	SAMD00019519	BBNJ00000000.1	na	470	470	Acinetobacter baumannii	GTC 03329		latest	Contig	Major	Full	2014/09/26	ASM76047v1	National Institute of Technology and Evaluation	GCA_000760475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/475/GCF_000760475.1_ASM76047v1			na
GCF_000761175.1	PRJNA224116	SAMN03075316		na	470	470	Acinetobacter baumannii	Strain AbH12O-A2		latest	Complete Genome	Major	Full	2014/10/01	ASM76117v1	University Hospital- Biomedical Research Institute	GCA_000761175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/175/GCF_000761175.1_ASM76117v1			na
GCF_000761465.1	PRJNA224116	SAMN02911795	JPKX00000000.1	na	470	470	Acinetobacter baumannii	T25		latest	Scaffold	Major	Full	2014/10/01	ASM76146v1	The University of Queensland	GCA_000761465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/465/GCF_000761465.1_ASM76146v1			na
GCF_000763365.1	PRJNA224116	SAMN02991271	JQSF00000000.1	na	470	470	Acinetobacter baumannii	A144		latest	Contig	Major	Full	2014/10/03	ASM76336v1	IMPaM	GCA_000763365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/365/GCF_000763365.1_ASM76336v1			na
GCF_000766105.1	PRJNA224116	SAMN02978813	JQSD00000000.1	na	470	470	Acinetobacter baumannii	341		latest	Contig	Major	Full	2014/10/10	ASM76610v1	University of Malaya	GCA_000766105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/766/105/GCF_000766105.1_ASM76610v1			na
GCF_000775835.1	PRJNA224116	SAMD00020334	BBOR00000000.1	na	470	470	Acinetobacter baumannii	NBRC 110495		latest	Contig	Major	Full	2014/11/07	ASM77583v1	National Institute of Technology and Evaluation	GCA_000775835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/775/835/GCF_000775835.1_ASM77583v1			na
GCF_000775855.1	PRJNA224116	SAMD00020339	BBOQ00000000.1	na	470	470	Acinetobacter baumannii	NBRC 110493		latest	Contig	Major	Full	2014/11/07	ASM77585v1	National Institute of Technology and Evaluation	GCA_000775855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/775/855/GCF_000775855.1_ASM77585v1			na
GCF_000775875.1	PRJNA224116	SAMD00020335	BBOP00000000.1	na	470	470	Acinetobacter baumannii	NBRC 110489		latest	Contig	Major	Full	2014/11/07	ASM77587v1	National Institute of Technology and Evaluation	GCA_000775875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/775/875/GCF_000775875.1_ASM77587v1			na
GCF_000787215.1	PRJNA224116	SAMN02911265	JPLH00000000.1	na	470	470	Acinetobacter baumannii	BJ3		latest	Contig	Major	Full	2014/11/26	ASM78721v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/215/GCF_000787215.1_ASM78721v1			na
GCF_000787225.1	PRJNA224116	SAMN02911263	JPLF00000000.1	na	470	470	Acinetobacter baumannii	BJ1		latest	Contig	Major	Full	2014/11/26	ASM78722v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/225/GCF_000787225.1_ASM78722v1			na
GCF_000787235.1	PRJNA224116	SAMN02911264	JPLG00000000.1	na	470	470	Acinetobacter baumannii	BJ2		latest	Contig	Major	Full	2014/11/26	ASM78723v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/235/GCF_000787235.1_ASM78723v1			na
GCF_000787275.1	PRJNA224116	SAMN02911266	JPLI00000000.1	na	470	470	Acinetobacter baumannii	BJ4		latest	Contig	Major	Full	2014/11/26	ASM78727v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/275/GCF_000787275.1_ASM78727v1			na
GCF_000787295.1	PRJNA224116	SAMN02911267	JPLJ00000000.1	na	470	470	Acinetobacter baumannii	BJ5		latest	Contig	Major	Full	2014/11/26	ASM78729v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/295/GCF_000787295.1_ASM78729v1			na
GCF_000787315.1	PRJNA224116	SAMN02911268	JPLK00000000.1	na	470	470	Acinetobacter baumannii	BJ6		latest	Contig	Major	Full	2014/11/26	ASM78731v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/315/GCF_000787315.1_ASM78731v1			na
GCF_000787335.1	PRJNA224116	SAMN02911269	JPLL00000000.1	na	470	470	Acinetobacter baumannii	BJ7		latest	Scaffold	Major	Full	2014/11/26	ASM78733v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/335/GCF_000787335.1_ASM78733v1			na
GCF_000787355.1	PRJNA224116	SAMN02911270	JPLM00000000.1	na	470	470	Acinetobacter baumannii	BJ8		latest	Contig	Major	Full	2014/11/26	ASM78735v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000787355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/355/GCF_000787355.1_ASM78735v1			na
GCF_000794125.1	PRJNA224116	SAMN03105183	JRWO00000000.1	na	470	470	Acinetobacter baumannii	AB6870155		latest	Scaffold	Major	Full	2014/12/04	ASM79412v1	Macquarie University	GCA_000794125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/794/125/GCF_000794125.1_ASM79412v1			na
GCF_000802885.1	PRJNA224116	SAMN03080630	JRTY00000000.1	na	470	470	Acinetobacter baumannii	T173		latest	Scaffold	Major	Full	2014/12/17	ASM80288v1	The University of Queensland	GCA_000802885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/802/885/GCF_000802885.1_ASM80288v1			na
GCF_000802895.1	PRJNA224116	SAMN03080628	JRTX00000000.1	na	470	470	Acinetobacter baumannii	T122		latest	Scaffold	Major	Full	2014/12/17	ASM80289v1	The University of Queensland	GCA_000802895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/802/895/GCF_000802895.1_ASM80289v1			na
GCF_000802915.1	PRJNA224116	SAMN03080633	JRTZ00000000.1	na	470	470	Acinetobacter baumannii	T214		latest	Scaffold	Major	Full	2014/12/17	ASM80291v1	The University of Queensland	GCA_000802915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/802/915/GCF_000802915.1_ASM80291v1			na
